X;Y
3.20;0.00
3.15;0.20
3.10;0.23
3.05;0.26
3.00;0.28
2.95;0.32
2.90;0.34
2.85;0.36
2.80;0.38
2.75;0.42
2.70;0.44
2.65;0.51
2.60;0.55
2.55;0.66
2.50;0.70
2.45;0.78
2.40;0.80
2.35;0.83
2.30;0.84
2.25;0.87
2.20;0.88
2.15;0.93
2.10;0.97
2.05;1.04
2.00;1.07
1.95;1.12
1.90;1.14
1.85;1.18
1.80;1.20
1.75;1.24
1.70;1.26
1.65;1.31
1.60;1.34
1.55;1.40
1.50;1.43
1.45;1.50
1.40;1.54
1.35;1.64
1.30;1.70
1.25;1.87
1.20;2.01
1.15;2.27
1.10;2.40
1.05;2.61
1.00;2.67
0.95;2.77
0.90;2.82
0.80;3.00
0.80;3.00
0.90;3.16
0.95;3.20
1.00;3.24
1.05;3.26
1.10;3.29
1.15;3.30
1.20;3.31
1.25;3.31
1.30;3.33
1.35;3.33
1.45;3.35
1.40;3.35
1.50;3.35
1.55;3.35
1.60;3.36
1.65;3.36
1.75;3.37
1.70;3.37
1.80;3.37
1.85;3.37
1.90;3.38
1.95;3.38
2.00;3.40
2.05;3.40
2.10;3.41
2.15;3.42
2.20;3.43
2.25;3.44
2.30;3.45
2.35;3.47
2.40;3.49
2.45;3.50
2.50;3.52
2.55;3.54
2.60;3.57
2.65;3.59
2.75;3.64
2.85;3.67
2.95;3.72
3.05;3.76
3.10;3.83
3.15;3.88
3.25;4.09
3.35;4.15
3.10;3.83
3.15;3.88
3.25;4.09
3.35;4.15
